처방아이디,처방한글명,처방한자명,치료병증,출전,출처,페이지,증상한글명,증상한자명,일반인설명,약재한글명,약재한자명,약재이명,약재타입,수치전약재명,약용부위,귀경,성,미,독성,분류,과명,용량,단위
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,,,,생지황,生地黃,乾生地|毛原|密罐花根|山箊根|生乾地黃|生地|鮮生地|鮮地黃|原生地|酒壺花根|地脈|地髓|地黃|天黃|芐|懷慶地黃,M,,뿌리(根),心|肝|腎,寒,甘|苦,,淸熱凉血藥,Scrophulariaceae,2.5,g
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,,,,시호,柴胡,南柴胡|北柴胡|北胡|細柴胡|紫荊關柴胡|茈胡|才胡|地熏|津柴胡|川柴胡|鐵苗柴胡|秋柴胡|春柴胡|漢柴胡,M,,뿌리(根),肝|膽,微寒,苦,,發散風熱藥,Umbelliferae,2.5,g
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,,,,인삼,人蔘,高麗蔘|鬼蓋|金井玉蘭|大人蔘|獨勝|羅參|潞州人蔘|白物|白修蔘|百濟蔘|白條蔘|蔘|上黨蔘|上黨人蔘|新羅人蔘|羊角蔘|玉精|遼東蔘|遼蔘|元蔘|人微|人參|仁蔘|人祥|人身|人精|人衡|紫團蔘|地精|淸河人蔘|皺面丹|皺面還丹|土精|孩兒參|海腴|血蔘|黃蔘|黃石,M,,뿌리(根),脾|肺|心,微溫,甘|微苦,,補氣藥,Araliaceae,2.5,g
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,,,,적복령,赤茯苓,赤苓|赤茯|赤服岺,M,,표층 아래 淡紅色(표층 아래 淡紅色),心|脾|膀胱,平,甘|淡,,利水退腫藥,Polyporaceae,2.5,g
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,,,,적작약,赤芍藥,京芍藥|木芍藥|山芍藥|西赤芍|赤芍|草芍藥|臭牡丹根|紅芍藥,M,,뿌리(根),肝,微寒,苦,,淸熱凉血藥,Ranunculaceae,2.5,g
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,,,,전호,前胡,南石防風|嫩前胡|白前胡|紛前胡|水前胡|巖棕|全胡|坡地石防風,M,,뿌리(根),肝,微寒,苦|辛,,淸化熱痰藥,Umbelliferae,2.5,g
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,,,,지각,枳殼,奴隸|大枳殼|洞庭奴隸|商殼|商枳殼|只殼|枳角|陳枳殼|香橙殼,M,,과실(果實),肺|脾|大腸,凉,苦|辛,,理氣藥,Rutaceae,2.5,g
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,,,,창출,蒼朮,馬薊|茅君寶|山薑|山芥|山薊|山連|山精|仙朮|赤朮|地葵|陳蒼朮|蒼術|創出|天薊|天蘇|天精|朮,M,,뿌리줄기(根莖),脾|胃|肝,溫,辛|苦,,芳香化濕藥,Compositae,2.5,g
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,,,,천궁,川芎,京芎|貫芎|鞠窮|芎|芎窮|芎藭|芎營|茶芎|大芎|臺芎|大川芎|杜芎|馬銜芎藭|撫芎|蕪芎|撫川芎|山鞠窮|西芎|西撫芎|小撫芎|小川芎|藥芹|雀腦芎|正川芎|眞川芎|川芎藭|川撫芎|川元蠢|香果|壺藭|胡藭|蒿本,M,,뿌리줄기(根莖),肝|膽|心包,溫,辛,,活血祛瘀藥,Umbelliferae,2.5,g
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,,,,형개,荊芥,假蘇|姜芥|薑芥|擧卿古拜散|京芥|獨行散|四棱杆蒿|鼠蓂|鼠實|綫芥|如聖散|隱齒菜|一捻金|再生丹|鄭芥|香荊芥,M,,전초(全草),肺|肝,微溫,辛,,發散風寒藥,Labiatae,2.5,g
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,발반,發斑,부분적으로 피부색의 변화가 있으며 아픈 부위가 주위 조직보다 도드라지거나 움푹 꺼지지 않은 것,,,,,,,,,,,,,,
FO00500001,패독산가감,敗毒散加減,肺痺證,,폐계내과학,522,온역,溫疫,1 역려의 기(돌림병을 일으키는 독한 기운)를 감수함으로써 발생한 급성(急性熱性) 전염병 2 온병의 하나,,,,,,,,,,,,,,
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,갈근(건),葛根(乾),乾葛,P,葛根,,,,,,,,4,g
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,감초,甘草,甘草根|國老|國老草|大甘草|大粉草|大嗷|蕗草|美草|蜜甘|蜜草|紛甘草|粉草|紛草|生草|靈草|靈通|倫蜜珊瑚|主人|槍罕草|甛甘草|甛根子|甛草|橫紋甘草,M,,뿌리줄기(根莖)|뿌리(根),心|肺|脾|胃,平,甘,,補氣藥,Leguminosae,3,g
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,강,薑,,M,,,,,,,,,3,片
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,길경,桔梗,梗草|苦梗|苦莄|苦桔梗|桔梗根|吉祥杵|南桔梗|盧茹|都乙羅叱|道乙阿叱|犁如|木便|房圖|方圖|白藥|符蔰|紛桔梗|芽桔梗|利如|薺苨|秋桔梗|土人參,M,,뿌리(根),肝,平,苦|辛,,淸化熱痰藥,Campanulaceae,3,g
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,대조,大棗,乾赤棗|乾棗|鷄心|鷄心棗|桂棗|灌棗|膠棗|狗牙|南棗|丹棗|棠棗|大北棗|大棗|東棗|轆棗|美棗|搏落酥|白棗|北棗|氏棗|羊角|良棗|牛頭|棯棗|紫棗|棗|棗膏|棗肉|棗脯|天蒸棗|靑州棗|墟棗|壺|紅棗,M,,과실(果實),脾|胃,溫,甘,,補氣藥,Rhamnaceae,2,枚
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,반하,半夏,狗芋頭|老瓜蒜|老鴉眼|痰宮劈歷|大半夏|半下|白傍幾子|白羊眼半夏|小天南星|水玉|守田|示姑|羊眼|羊眼半夏|圓白半夏|地文|雉毛奴邑|雉毛邑|杏州半夏|和姑,M,,괴경(塊莖),脾|胃|肺,溫,辛,有毒,溫化寒痰藥,Araceae,4,g
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,인삼,人蔘,高麗蔘|鬼蓋|金井玉蘭|大人蔘|獨勝|羅參|潞州人蔘|白物|白修蔘|百濟蔘|白條蔘|蔘|上黨蔘|上黨人蔘|新羅人蔘|羊角蔘|玉精|遼東蔘|遼蔘|元蔘|人微|人參|仁蔘|人祥|人身|人精|人衡|紫團蔘|地精|淸河人蔘|皺面丹|皺面還丹|土精|孩兒參|海腴|血蔘|黃蔘|黃石,M,,뿌리(根),脾|肺|心,微溫,甘|微苦,,補氣藥,Araliaceae,4,g
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,자소엽,紫蘇葉,桂荏葉|白魚蘇葉|山魚蘇葉|蘇葉|水蘇葉|水壯元葉|紫蘇|赤蘇葉|皺紫蘇葉|香蘇葉|紅蘇葉|紅紫蘇葉,M,,잎(葉),肺|脾,溫,辛,,發散風寒藥,Labiatae,4,g
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,적복령,赤茯苓,赤苓|赤茯|赤服岺,M,,표층 아래 淡紅色(표층 아래 淡紅色),心|脾|膀胱,平,甘|淡,,利水退腫藥,Polyporaceae,4,g
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,전호,前胡,南石防風|嫩前胡|白前胡|紛前胡|水前胡|巖棕|全胡|坡地石防風,M,,뿌리(根),肝,微寒,苦|辛,,淸化熱痰藥,Umbelliferae,4,g
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,지각,枳殼,奴隸|大枳殼|洞庭奴隸|商殼|商枳殼|只殼|枳角|陳枳殼|香橙殼,M,,과실(果實),肺|脾|大腸,凉,苦|辛,,理氣藥,Rutaceae,3,g
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,,,,진피,陳皮,柑子皮|柑皮|苦枥皮|苦榴皮|苦樹皮|廣柑皮|廣橘皮|廣陳皮|廣皮|貴老|橘子皮|橘皮|橘紅|芩皮|攀槻皮|白樳木皮|樊槻皮|蜡樹皮|細辛木皮|新會柑皮|新會皮|梣槻皮|樳木皮|梣皮|若理木皮|浙陳皮|陳柑皮|陳廣皮|陳橘皮|秦白皮|川橘皮|紅皮|黃橘皮,M,,과피(果皮),脾|肺,溫,辛|苦,,理氣藥,Rutaceae,3,g
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,감상풍한두통,感傷風寒頭痛,풍한사(風寒邪)로 인해 정기(正氣)가 손상되어 생긴 두통,,,,,,,,,,,,,,
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,내인칠정,內因七情,내인(內因)으로 인해 생긴 일곱가지 감정,,,,,,,,,,,,,,
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,담성흉만조열,痰成胸滿潮熱,담(痰)이 생겨 가슴이 그득하고 매일 일정한 시간이 되면 체온이 상승하는 것,,,,,,,,,,,,,,
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,발열,發熱,열(熱)이 나는 것,,,,,,,,,,,,,,
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,발열해수,發熱咳嗽,몸에 열이 나며 기침할 때 소리도 나고 가래도 나오는 증상,,,,,,,,,,,,,,
FO00500002,삼소음가감,蔘蘇飮加減,肺痺證,,폐계내과학,522,해수,咳嗽,기침을 하는 것,,,,,,,,,,,,,,
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,,,,감초(자),甘草(炙),甘草炙|用甘草炙|炙甘|炙甘草|炙草|草(炙),P,甘草,,,,,,,,2,g
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,,,,강,薑,,M,,,,,,,,,3,片
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,,,,자소엽,紫蘇葉,桂荏葉|白魚蘇葉|山魚蘇葉|蘇葉|水蘇葉|水壯元葉|紫蘇|赤蘇葉|皺紫蘇葉|香蘇葉|紅蘇葉|紅紫蘇葉,M,,잎(葉),肺|脾,溫,辛,,發散風寒藥,Labiatae,8,g
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,,,,진피,陳皮,柑子皮|柑皮|苦枥皮|苦榴皮|苦樹皮|廣柑皮|廣橘皮|廣陳皮|廣皮|貴老|橘子皮|橘皮|橘紅|芩皮|攀槻皮|白樳木皮|樊槻皮|蜡樹皮|細辛木皮|新會柑皮|新會皮|梣槻皮|樳木皮|梣皮|若理木皮|浙陳皮|陳柑皮|陳廣皮|陳橘皮|秦白皮|川橘皮|紅皮|黃橘皮,M,,과피(果皮),脾|肺,溫,辛|苦,,理氣藥,Rutaceae,4,g
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,,,,창출,蒼朮,馬薊|茅君寶|山薑|山芥|山薊|山連|山精|仙朮|赤朮|地葵|陳蒼朮|蒼術|創出|天薊|天蘇|天精|朮,M,,뿌리줄기(根莖),脾|胃|肝,溫,辛|苦,,芳香化濕藥,Compositae,6,g
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,,,,총백,葱白,芤|大蔥|菜伯|葱|蔥莖白|葱根|蔥白|葱白|蔥白頭|파뿌리|和事草,M,,인경(鱗莖),肺|胃,溫,辛,,發散風寒藥,Liliaceae,2,莖
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,,,,향부자,香附子,苦羌頭|雷公頭|大理府香附|大香附|大香附子|白香附|附末|附米|莎結|莎根|莎草根|雀頭香|猪通草茹|地藾根|地毛|草附子|抱靈居士|香附|香附米|黑香附,M,,뿌리줄기(根莖),肝|脾|三焦,平,辛|微甘|苦,,理氣藥,Cyperaceae,8,g
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,두통,頭痛,머리 아픈 것,,,,,,,,,,,,,,
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,발열,發熱,열(熱)이 나는 것,,,,,,,,,,,,,,
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,상습,傷濕,습사(濕邪)를 감수하여 손상되는 것,,,,,,,,,,,,,,
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,상풍,傷風,외감증(外感症)으로 풍사가 표(表)에 침입하여 병이 발생한 것,,,,,,,,,,,,,,
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,상한,傷寒,한사(寒邪)를 감수하여 손상되는 것,,,,,,,,,,,,,,
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,상한,傷寒,한사(寒邪)를 감수하여 손상되는 것,,,,,,,,,,,,,,
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,시기온역,時氣瘟疫,전염성 열병,,,,,,,,,,,,,,
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,신동,身疼,신체가 쑤시고 아픈 병증,,,,,,,,,,,,,,
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,오한,惡寒,추위를 싫어하는 것,,,,,,,,,,,,,,
FO00500003,향소산가감,香蘇散加減,皮痹證,,폐계내과학,522,온역,瘟疫,온병의 하나 유행성 사기로 생기는 급성 열성 전염병을 통칭,,,,,,,,,,,,,,
FO00500004,월비탕가반하탕,越婢湯加半夏湯,肺脹證,,폐계내과학,522,,,,감초,甘草,甘草根|國老|國老草|大甘草|大粉草|大嗷|蕗草|美草|蜜甘|蜜草|紛甘草|粉草|紛草|生草|靈草|靈通|倫蜜珊瑚|主人|槍罕草|甛甘草|甛根子|甛草|橫紋甘草,M,,뿌리줄기(根莖)|뿌리(根),心|肺|脾|胃,平,甘,,補氣藥,Leguminosae,4,g
FO00500004,월비탕가반하탕,越婢湯加半夏湯,肺脹證,,폐계내과학,522,,,,대조,大棗,乾赤棗|乾棗|鷄心|鷄心棗|桂棗|灌棗|膠棗|狗牙|南棗|丹棗|棠棗|大北棗|大棗|東棗|轆棗|美棗|搏落酥|白棗|北棗|氏棗|羊角|良棗|牛頭|棯棗|紫棗|棗|棗膏|棗肉|棗脯|天蒸棗|靑州棗|墟棗|壺|紅棗,M,,과실(果實),脾|胃,溫,甘,,補氣藥,Rhamnaceae,2,枚
FO00500004,월비탕가반하탕,越婢湯加半夏湯,肺脹證,,폐계내과학,522,,,,마황,麻黃,狗骨|麻黃草|卑相|卑鹽|西麻黃|龍沙|赤根|淨麻黃|中央節土|中黃節土|陳麻黃,M,,초질경(草質莖),肺|膀胱,溫,辛|微苦,,發散風寒藥,Ephedraceae,8,g
FO00500004,월비탕가반하탕,越婢湯加半夏湯,肺脹證,,폐계내과학,522,,,,반하,半夏,狗芋頭|老瓜蒜|老鴉眼|痰宮劈歷|大半夏|半下|白傍幾子|白羊眼半夏|小天南星|水玉|守田|示姑|羊眼|羊眼半夏|圓白半夏|地文|雉毛奴邑|雉毛邑|杏州半夏|和姑,M,,괴경(塊莖),脾|胃|肺,溫,辛,有毒,溫化寒痰藥,Araceae,8,g
FO00500004,월비탕가반하탕,越婢湯加半夏湯,肺脹證,,폐계내과학,522,,,,생강,生薑,薑根|鉤妝指|老生薑|面薑|母薑|百辣雲|鮮薑|鮮生薑|御濕菜|炎凉小子|因地辛|子薑|紫薑|菜薑|川薑|川百薑,M,,뿌리줄기(根莖),肺|脾|胃,微溫,辛,,發散風寒藥,Zingiberaceae,5,片
FO00500004,월비탕가반하탕,越婢湯加半夏湯,肺脹證,,폐계내과학,522,,,,석고,石膏,大石膏|白石膏|白虎|氷石|石羔|纖維石膏|細理石|細石|軟石膏|玉大石|玉靈片|玉火石|王靈片|流動蘇合香|帝膏|帝油流|帝香|楓脂香|寒水石|合香,M,,광물(鑛物),肺|胃,大寒,辛|甘,,淸熱瀉火藥,황산염류,12,g
FO00500004,월비탕가반하탕,越婢湯加半夏湯,肺脹證,,폐계내과학,522,맥대,脈大,맥(脈)이 큰 것,,,,,,,,,,,,,,
FO00500004,월비탕가반하탕,越婢湯加半夏湯,肺脹證,,폐계내과학,522,상기,上氣,기(氣)가 거슬러 오르는 것,,,,,,,,,,,,,,
FO00500004,월비탕가반하탕,越婢湯加半夏湯,肺脹證,,폐계내과학,522,안목통,眼目痛,눈이 아픈 것,,,,,,,,,,,,,,
FO00500004,월비탕가반하탕,越婢湯加半夏湯,肺脹證,,폐계내과학,522,천,喘,호흡이 빠르고 촉박한 병증,,,,,,,,,,,,,,
FO00500004,월비탕가반하탕,越婢湯加半夏湯,肺脹證,,폐계내과학,522,해,咳,가래가 없는 기침을 하는 것,,,,,,,,,,,,,,
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,,,,감초(자),甘草(炙),甘草炙|用甘草炙|炙甘|炙甘草|炙草|草(炙),P,甘草,,,,,,,,4,g
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,,,,건강,乾薑,幹薑|幹生薑|乾姜|乾生薑|均薑|綿薑|白薑|白乾薑|川乾薑|泡薑,M,,뿌리줄기(根莖),脾|胃|肺,熱,辛,,溫裏藥,Zingiberaceae,4,g
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,,,,계지,桂枝,桂枝段|廣桂枝|嫩桂枝|柳桂|川桂枝,M,,어린 가지(嫩枝),膀胱|心|肺,溫,辛|甘,,發散風寒藥,Lauraceae,4,g
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,,,,마황,麻黃,狗骨|麻黃草|卑相|卑鹽|西麻黃|龍沙|赤根|淨麻黃|中央節土|中黃節土|陳麻黃,M,,초질경(草質莖),肺|膀胱,溫,辛|微苦,,發散風寒藥,Ephedraceae,6,g
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,,,,반하(제),半夏(製),半夏並製|半夏製|製半夏,P,半夏,,,,,,,,6,g
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,,,,세신,細辛,金盤草|金盆草|綠鬚薑|大藥|獨葉草|萬病草|毛柄細辛|北細辛|四兩麻|西細辛|細參|細條|細草|小辛|少辛|烟袋鍋|烟袋鍋花|鈴鐺花|玉番絲|玉香絲|臥龍丹|漢城細辛|華陰細辛,M,,대근전초(帶根全草),心|肺|腎,溫,辛,,發散風寒藥,Aristolochiaceae,4,g
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,,,,오미자,五味子,金鈴子|遼五味子|菋|北味|北五味|北五味子|生五味子|嗽神|五味|遼五味|六亭劑|荎藸|玄及|紅內藤|紅內消|會及,M,,과실(果實),肺|心|腎,溫,酸|甘,,澁精縮尿止帶藥,Magnoliaceae,6,g
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,,,,작약,芍藥,金芍藥|白芍|白芍藥|芍藥,M,,뿌리(根),肝|脾,微寒,苦|酸,,補血藥,Ranunculaceae,6,g
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,건구,乾嘔,소리만 나고 토해내는 것이 없는 구토,,,,,,,,,,,,,,
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,기역,氣逆,기(氣)가 치밀어오르는 것,,,,,,,,,,,,,,
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,발열,發熱,열(熱)이 나는 것,,,,,,,,,,,,,,
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,상한표불해,傷寒表不解,상한병(傷寒病)이 오래 되어 병사가 내부로 들어와 소화가 안되고 내장의 병증이 생긴 것이 사라지지 않은 것,,,,,,,,,,,,,,
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,천,喘,호흡이 빠르고 촉박한 병증,,,,,,,,,,,,,,
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,해,咳,가래가 없는 기침을 하는 것,,,,,,,,,,,,,,
FO00500005,소청룡탕,小靑龍湯,肺脹證,,폐계내과학,522,해천,咳喘,기침이 시원하게 나오지 않고 호흡이 가쁘며 곤란한 것,,,,,,,,,,,,,,
FO00500007,소자강기탕,蘇子降氣湯,肺脹證,,폐계내과학,522,,,,감초(자),甘草(炙),甘草炙|用甘草炙|炙甘|炙甘草|炙草|草(炙),P,甘草,,,,,,,,2,g
FO00500007,소자강기탕,蘇子降氣湯,肺脹證,,폐계내과학,522,,,,강,薑,,M,,,,,,,,,3,片
FO00500007,소자강기탕,蘇子降氣湯,肺脹證,,폐계내과학,522,,,,당귀,當歸,乾歸|歸尾|金當歸|馬尾歸|馬尾當歸|秦歸|秦當歸|川當歸,M,,뿌리(根),心|肝|脾,溫,甘|辛,,補血藥,Umbelliferae,2,g
FO00500007,소자강기탕,蘇子降氣湯,肺脹證,,폐계내과학,522,,,,대조,大棗,乾赤棗|乾棗|鷄心|鷄心棗|桂棗|灌棗|膠棗|狗牙|南棗|丹棗|棠棗|大北棗|大棗|東棗|轆棗|美棗|搏落酥|白棗|北棗|氏棗|羊角|良棗|牛頭|棯棗|紫棗|棗|棗膏|棗肉|棗脯|天蒸棗|靑州棗|墟棗|壺|紅棗,M,,과실(果實),脾|胃,溫,甘,,補氣藥,Rhamnaceae,2,枚
FO00500007,소자강기탕,蘇子降氣湯,肺脹證,,폐계내과학,522,,,,반하(국),半夏(麴),半夏麴,P,半夏,,,,,,,,4,g
FO00500007,소자강기탕,蘇子降氣湯,肺脹證,,폐계내과학,522,,,,육계,肉桂,桂|桂楠|桂馥|桂碎|桂圓肉|桂爾通|桂通|桂皮|官桂|廣條桂|交趾桂|菌桂|箘桂|企邊桂|丹桂|丹陽木皮|大桂|咄者|辣桂|楝桂|牡桂|木桂|上肉桂|玉桂|尉佗桂|尉佗生|柳桂|油桂|油筒桂|紫桂|條桂|眞桂|甛肉桂|靑化桂|土桂楠|筒桂|板桂|黃瑤桂,M,,수피(樹皮),腎|脾|膀胱,熱,甘|辛,,溫裏藥,Lauraceae,3,g
FO00500007,소자강기탕,蘇子降氣湯,肺脹證,,폐계내과학,522,,,,자소엽,紫蘇葉,桂荏葉|白魚蘇葉|山魚蘇葉|蘇葉|水蘇葉|水壯元葉|紫蘇|赤蘇葉|皺紫蘇葉|香蘇葉|紅蘇葉|紅紫蘇葉,M,,잎(葉),肺|脾,溫,辛,,發散風寒藥,Labiatae,5,葉
FO00500007,소자강기탕,蘇子降氣湯,肺脹證,,폐계내과학,522,,,,자소자(초),紫蘇子(炒),蘇子炒|炒蘇子,P,紫蘇子,,,,,,,,4,g
FO00500007,소자강기탕,蘇子降氣湯,肺脹證,,폐계내과학,522,,,,전호,前胡,南石防風|嫩前胡|白前胡|紛前胡|水前胡|巖棕|全胡|坡地石防風,M,,뿌리(根),肝,微寒,苦|辛,,淸化熱痰藥,Umbelliferae,2,g
